Time,C6_avg,psi6,V,S_cnn,S_param
0.0,5.56,0.9942799999999999,1,2,2
9.9999,5.353330000000001,0.8887200000000001,1,1,1
19.9999,5.04667,0.7943100000000001,1,1,1
29.9999,4.6866699999999994,0.66752,1,1,1
39.9999,4.49333,0.6128399999999999,1,1,1
49.9999,4.18,0.5535800000000001,1,0,1
59.9999,4.05333,0.53596,1,0,1
69.9999,3.79333,0.4319,1,0,0
79.9999,3.76,0.44845,1,0,0
89.9999,3.5,0.41421,1,0,0
99.9999,3.19333,0.36301,1,0,0
109.9999,3.16667,0.34024,1,0,0
119.9999,3.16667,0.28979,1,0,0
129.9999,2.94,0.28665999999999997,1,0,0
139.9999,3.04,0.35614,1,0,0
149.9999,2.58,0.20585,1,0,0
159.9999,2.68667,0.19748,1,0,0
169.9999,2.53333,0.16069,1,0,0
179.9999,2.54,0.12708,1,0,0
189.9999,2.29333,0.08626,1,0,0
199.9999,2.42,0.11579,1,0,0
209.9999,2.32,0.07138,1,0,0
219.9999,2.0866700000000002,0.0225,1,0,0
229.9999,2.13333,0.07812000000000001,1,0,0
239.9999,2.1266700000000003,0.03035,1,0,0
249.9999,2.29333,0.08867,1,0,0
259.9999,2.19333,0.01761,1,0,0
269.9999,2.19333,0.056620000000000004,1,0,0
279.9999,2.02667,0.05508,1,0,0
289.9999,2.1066700000000003,0.0506,1,0,0
299.9999,2.14667,0.03712,1,0,0
309.9999,2.03333,0.07003,1,0,0
319.9999,2.05333,0.07198,1,0,0
329.9999,2.05333,0.02671,1,0,0
339.9999,1.9866700000000002,0.040139999999999995,1,0,0
349.9999,1.95333,0.05032,1,0,0
359.9999,1.94,0.1236,1,0,0
369.9999,1.95333,0.0723,1,0,0
379.9999,1.89333,0.04975,1,0,0
389.9999,1.76,0.053970000000000004,1,0,0
399.9999,1.7933299999999999,0.08632999999999999,1,0,0
409.9999,1.91333,0.03084,1,0,0
419.9999,1.92,0.0345,1,0,0
429.9999,1.87333,0.08772,1,0,0
439.9999,1.8,0.02877,1,0,0
449.9999,1.78,0.04604,1,0,0
459.9999,1.84667,0.09788,1,0,0
469.9999,1.86,0.06237,1,0,0
479.9999,1.78667,0.0602,1,0,0
489.9999,1.72,0.050730000000000004,1,0,0
499.9999,1.89333,0.06852000000000001,1,0,0
509.9999,1.8,0.11563,1,0,0
519.9999,1.7066700000000001,0.03088,1,0,0
529.9999,1.76,0.050460000000000005,1,0,0
539.9999,1.7933299999999999,0.06563,1,0,0
549.9999,1.76,0.024569999999999998,1,0,0
559.9999,1.8,0.02239,1,0,0
569.9999,1.64,0.06389,1,0,0
579.9999,1.78,0.007379999999999999,1,0,0
589.9999,1.69333,0.04029,1,0,0
599.9999,1.7466700000000002,0.09081,1,0,0
609.9999,1.7066700000000001,0.06109,1,0,0
619.9999,1.71333,0.0317,1,0,0
629.9999,1.64667,0.06069,1,0,0
639.9999,1.61333,0.07973,1,0,0
649.9999,1.64667,0.01984,1,0,0
659.9999,1.56,0.0275,1,0,0
669.9999,1.7,0.06377999999999999,1,0,0
679.9999,1.73333,0.034069999999999996,1,0,0
689.9999,1.7466700000000002,0.06315,1,0,0
699.9999,1.71333,0.07302,1,0,0
709.9999,1.62667,0.01714,1,0,0
719.9999,1.76667,0.06258999999999999,1,0,0
729.9999,1.7466700000000002,0.058679999999999996,1,0,0
739.9999,1.76667,0.05401,1,0,0
749.9999,1.8133299999999999,0.028960000000000003,1,0,0
759.9999,1.7466700000000002,0.045989999999999996,1,0,0
769.9999,1.74,0.02588,1,0,0
779.9999,1.88667,0.06621,1,0,0
789.9999,1.76,0.06901,1,0,0
799.9999,1.76,0.07697999999999999,1,0,0
809.9999,1.84667,0.06381,1,0,0
819.9999,1.5333299999999999,0.04118,1,0,0
829.9999,1.78667,0.01964,1,0,0
839.9999,1.63333,0.01605,1,0,0
849.9999,1.7466700000000002,0.06001,1,0,0
859.9999,1.68,0.0671,1,0,0
869.9999,1.61333,0.02858,1,0,0
879.9999,1.58667,0.05926,1,0,0
889.9999,1.82667,0.08417000000000001,1,0,0
899.9999,1.62,0.03388,1,0,0
909.9999,1.65333,0.04583,1,0,0
919.9999,1.66,0.06138,1,0,0
929.9999,1.72,0.044410000000000005,1,0,0
939.9999,1.67333,0.05508,1,0,0
949.9999,1.54667,0.07142000000000001,1,0,0
959.9999,1.63333,0.055060000000000005,1,0,0
969.9999,1.74,0.11274,1,0,0
979.9999,1.66,0.03974,1,0,0
989.9999,1.67333,0.05905,1,0,0
999.9999,1.67333,0.05019,1,0,0
