Time,C6_avg,psi6,V,S_cnn,S_param
0.0,4.94667,0.11904,3,1,1
9.9999,4.86667,0.16538,3,1,1
19.9999,4.75333,0.20269,3,1,1
29.9999,4.58,0.16598,3,1,1
39.9999,4.66667,0.1557,3,1,1
49.9999,4.486669999999999,0.16015,3,1,1
59.9999,4.56,0.11092,3,1,1
69.9999,4.45333,0.20025,3,1,1
79.9999,4.50667,0.16851,3,1,1
89.9999,4.58667,0.17736,3,1,1
99.9999,4.58667,0.15334,3,1,1
109.9999,4.57333,0.23869,3,1,1
119.9999,4.61333,0.25536,3,1,1
129.9999,4.58667,0.27923000000000003,3,1,1
139.9999,4.46,0.27862,3,1,1
149.9999,4.62,0.3339,3,1,1
159.9999,4.58,0.24303000000000002,3,1,1
169.9999,4.65333,0.36336,3,1,1
179.9999,4.473330000000001,0.36459,3,1,1
189.9999,4.55333,0.40166999999999997,3,1,1
199.9999,4.58667,0.38155,3,1,1
209.9999,4.55333,0.35295,3,1,1
219.9999,4.41333,0.34689000000000003,3,1,1
229.9999,4.40667,0.32361,3,1,1
239.9999,4.54,0.3615,3,1,1
249.9999,4.61333,0.39405,3,1,1
259.9999,4.55333,0.4214,3,1,1
269.9999,4.52,0.4406,3,1,1
279.9999,4.6866699999999994,0.5300699999999999,3,1,1
289.9999,4.63333,0.48833000000000004,3,1,1
299.9999,4.7666699999999995,0.51957,3,1,1
309.9999,4.6,0.5371100000000001,3,1,1
319.9999,4.58667,0.55075,3,1,1
329.9999,4.71333,0.5606399999999999,3,1,1
339.9999,4.7333300000000005,0.59158,3,1,1
349.9999,4.71333,0.55353,3,1,1
359.9999,4.6,0.51544,3,1,1
369.9999,4.6866699999999994,0.55747,3,1,1
379.9999,4.893330000000001,0.61965,3,1,1
389.9999,4.7333300000000005,0.58,3,1,1
399.9999,4.8133300000000006,0.61722,3,1,1
409.9999,4.82,0.6371600000000001,3,1,1
419.9999,4.82667,0.66285,3,1,1
429.9999,4.78667,0.65123,3,1,1
439.9999,4.91333,0.68624,3,1,1
449.9999,4.86667,0.69702,3,1,1
459.9999,4.82667,0.71228,3,1,1
469.9999,4.84667,0.73482,3,1,1
479.9999,4.83333,0.69375,3,1,1
489.9999,4.94667,0.75534,3,1,1
499.9999,4.933330000000001,0.72129,3,1,1
509.9999,4.8066699999999996,0.66972,3,1,1
519.9999,4.84,0.70934,3,1,1
529.9999,4.92,0.73093,3,1,1
539.9999,5.00667,0.75326,3,1,1
549.9999,4.90667,0.74464,3,1,1
559.9999,5.0,0.74547,3,1,1
569.9999,5.04667,0.76561,3,1,1
579.9999,4.90667,0.7299100000000001,3,1,1
589.9999,4.91333,0.73821,3,1,1
599.9999,5.03333,0.7591600000000001,3,1,1
609.9999,5.08,0.7651399999999999,3,1,1
619.9999,5.04,0.76053,3,1,1
629.9999,4.95333,0.73168,3,1,1
639.9999,4.94667,0.74549,3,1,1
649.9999,4.92,0.72467,3,1,1
659.9999,4.7333300000000005,0.6745399999999999,3,1,1
669.9999,4.8,0.69084,3,1,1
679.9999,4.84,0.6881,3,1,1
689.9999,4.83333,0.68599,3,1,1
699.9999,4.75333,0.67692,3,1,1
709.9999,4.84667,0.7032,3,1,1
719.9999,4.86,0.71382,3,1,1
729.9999,4.84667,0.68476,3,1,1
739.9999,4.76,0.62875,3,1,1
749.9999,4.7733300000000005,0.68007,3,1,1
759.9999,4.96667,0.72796,3,1,1
769.9999,4.893330000000001,0.7268600000000001,3,1,1
779.9999,4.92,0.71497,3,1,1
789.9999,4.86,0.7236,3,1,1
799.9999,4.86667,0.7207899999999999,3,1,1
809.9999,4.9,0.73575,3,1,1
819.9999,5.09333,0.7569100000000001,3,1,1
829.9999,4.973330000000001,0.74716,3,1,1
839.9999,5.0,0.72172,3,1,1
849.9999,5.026669999999999,0.7481800000000001,3,1,1
859.9999,5.00667,0.75546,3,1,1
869.9999,4.933330000000001,0.70799,3,1,1
879.9999,4.87333,0.71599,3,1,1
889.9999,4.96667,0.71816,3,1,1
899.9999,5.07333,0.72625,3,1,1
909.9999,5.12,0.75483,3,1,1
919.9999,4.986669999999999,0.7034100000000001,3,1,1
929.9999,4.98,0.7135,3,1,1
939.9999,5.03333,0.7494,3,1,1
949.9999,4.86,0.70658,3,1,1
959.9999,4.83333,0.6801,3,1,1
969.9999,4.986669999999999,0.72278,3,1,1
979.9999,4.853330000000001,0.71246,3,1,1
989.9999,4.82667,0.65152,3,1,1
999.9999,4.88,0.68065,3,1,1
