Time,C6_avg,psi6,V,S_cnn,S_param
0.0,1.7466700000000002,0.02671,4,0,0
9.9999,4.55333,0.04249,4,1,1
19.9999,4.94,0.12269000000000001,4,1,1
29.9999,4.973330000000001,0.18888,4,1,1
39.9999,4.95333,0.12404000000000001,4,1,1
49.9999,4.973330000000001,0.1389,4,1,1
59.9999,4.92667,0.12987,4,1,1
69.9999,4.95333,0.13118,4,1,1
79.9999,4.933330000000001,0.13217,4,1,1
89.9999,4.96667,0.14934,4,1,1
99.9999,4.92667,0.1292,4,1,1
109.9999,4.90667,0.14257,4,1,1
119.9999,4.92667,0.12963,4,1,1
129.9999,4.91333,0.11924000000000001,4,1,1
139.9999,4.90667,0.13076,4,1,1
149.9999,4.92667,0.12642,4,1,1
159.9999,4.92,0.14382,4,1,1
169.9999,4.94,0.13175,4,1,1
179.9999,4.95333,0.14002,4,1,1
189.9999,4.94,0.13291,4,1,1
199.9999,4.92,0.15381,4,1,1
209.9999,4.92,0.12053,4,1,1
219.9999,4.98,0.13489,4,1,1
229.9999,4.98,0.14071,4,1,1
239.9999,4.96,0.14177,4,1,1
249.9999,4.95333,0.15317,4,1,1
259.9999,4.94,0.14173,4,1,1
269.9999,4.96,0.13734000000000002,4,1,1
279.9999,4.92,0.12615,4,1,1
289.9999,4.973330000000001,0.16876,4,1,1
299.9999,4.99333,0.13555999999999999,4,1,1
309.9999,4.94,0.12594,4,1,1
319.9999,4.973330000000001,0.15249000000000001,4,1,1
329.9999,4.96667,0.13414,4,1,1
339.9999,4.92667,0.15029,4,1,1
349.9999,4.986669999999999,0.14825,4,1,1
359.9999,4.973330000000001,0.14948,4,1,1
369.9999,5.0,0.13169,4,1,1
379.9999,4.986669999999999,0.16729000000000002,4,1,1
389.9999,4.95333,0.15574000000000002,4,1,1
399.9999,4.94667,0.14405,4,1,1
409.9999,4.90667,0.15533,4,1,1
419.9999,4.95333,0.15417,4,1,1
429.9999,4.94667,0.1244,4,1,1
439.9999,4.95333,0.15768,4,1,1
449.9999,4.96667,0.14927,4,1,1
459.9999,4.96667,0.13535,4,1,1
469.9999,4.96,0.1572,4,1,1
479.9999,4.95333,0.14979,4,1,1
489.9999,4.96,0.12672,4,1,1
499.9999,4.96,0.13217,4,1,1
509.9999,4.96,0.15689,4,1,1
519.9999,4.95333,0.13929,4,1,1
529.9999,4.96,0.15339,4,1,1
539.9999,4.96,0.13769,4,1,1
549.9999,4.92667,0.14232,4,1,1
559.9999,4.98,0.13972,4,1,1
569.9999,4.96,0.14128,4,1,1
579.9999,4.94667,0.14570999999999998,4,1,1
589.9999,4.94,0.12718,4,1,1
599.9999,4.92667,0.14173,4,1,1
609.9999,4.933330000000001,0.15646,4,1,1
619.9999,4.90667,0.12972,4,1,1
629.9999,4.933330000000001,0.15027000000000001,4,1,1
639.9999,4.98,0.14499,4,1,1
649.9999,4.96667,0.15335,4,1,1
659.9999,4.95333,0.14355,4,1,1
669.9999,4.92667,0.14175,4,1,1
679.9999,4.95333,0.14862,4,1,1
689.9999,4.94,0.13305,4,1,1
699.9999,4.94667,0.1363,4,1,1
709.9999,4.96667,0.14369,4,1,1
719.9999,4.95333,0.15374000000000002,4,1,1
729.9999,4.95333,0.15615,4,1,1
739.9999,4.95333,0.13086,4,1,1
749.9999,4.933330000000001,0.15138,4,1,1
759.9999,4.92,0.13898,4,1,1
769.9999,4.96,0.12664,4,1,1
779.9999,4.95333,0.14040999999999998,4,1,1
789.9999,4.95333,0.12709,4,1,1
799.9999,4.94,0.12289000000000001,4,1,1
809.9999,4.986669999999999,0.10538,4,1,1
819.9999,4.94,0.14051,4,1,1
829.9999,4.95333,0.15357,4,1,1
839.9999,5.0,0.1553,4,1,1
849.9999,4.933330000000001,0.12691,4,1,1
859.9999,4.99333,0.15402000000000002,4,1,1
869.9999,4.96,0.16095,4,1,1
879.9999,4.973330000000001,0.16763,4,1,1
889.9999,4.94,0.16053,4,1,1
899.9999,4.92667,0.1348,4,1,1
909.9999,4.973330000000001,0.15306,4,1,1
919.9999,4.96,0.13790999999999998,4,1,1
929.9999,4.96667,0.12105,4,1,1
939.9999,4.95333,0.12747,4,1,1
949.9999,4.96,0.1378,4,1,1
959.9999,4.94667,0.14957,4,1,1
969.9999,4.973330000000001,0.15189,4,1,1
979.9999,5.00667,0.16175,4,1,1
989.9999,5.00667,0.16579000000000002,4,1,1
999.9999,4.94667,0.11904,4,1,1
