Time,C6_avg,psi6,V,S_cnn,S_param
0.0,5.56,0.9942799999999999,3,2,2
9.9999,5.46667,0.91701,3,1,1
19.9999,5.353330000000001,0.8740100000000001,3,1,1
29.9999,5.22,0.81408,3,1,1
39.9999,5.24667,0.82176,3,1,1
49.9999,5.2333300000000005,0.8012199999999999,3,1,1
59.9999,5.08,0.76422,3,1,1
69.9999,5.06,0.75776,3,1,1
79.9999,4.92667,0.73592,3,1,1
89.9999,4.94,0.73754,3,1,1
99.9999,4.96667,0.7349100000000001,3,1,1
109.9999,4.933330000000001,0.72178,3,1,1
119.9999,4.96667,0.73543,3,1,1
129.9999,5.1,0.7558199999999999,3,1,1
139.9999,5.06,0.74963,3,1,1
149.9999,5.05333,0.7662100000000001,3,1,1
159.9999,5.05333,0.7640399999999999,3,1,1
169.9999,4.933330000000001,0.7259399999999999,3,1,1
179.9999,4.91333,0.71519,3,1,1
189.9999,4.86,0.63876,3,1,1
199.9999,4.893330000000001,0.67694,3,1,1
209.9999,4.78,0.66956,3,1,1
219.9999,4.62,0.63576,3,1,1
229.9999,4.7333300000000005,0.65337,3,1,1
239.9999,4.84,0.71636,3,1,1
249.9999,4.973330000000001,0.73265,3,1,1
259.9999,4.8066699999999996,0.70763,3,1,1
269.9999,4.8066699999999996,0.68555,3,1,1
279.9999,4.86667,0.72402,3,1,1
289.9999,4.893330000000001,0.72312,3,1,1
299.9999,4.84,0.68262,3,1,1
309.9999,4.7333300000000005,0.67585,3,1,1
319.9999,4.88,0.6975399999999999,3,1,1
329.9999,4.88,0.71536,3,1,1
339.9999,4.8066699999999996,0.71343,3,1,1
349.9999,4.83333,0.7026899999999999,3,1,1
359.9999,4.86,0.7166600000000001,3,1,1
369.9999,4.92,0.74273,3,1,1
379.9999,5.02,0.75807,3,1,1
389.9999,5.013330000000001,0.74447,3,1,1
399.9999,5.04,0.7750100000000001,3,1,1
409.9999,4.96,0.71812,3,1,1
419.9999,5.15333,0.80624,3,1,1
429.9999,4.96667,0.73557,3,1,1
439.9999,5.1,0.7713899999999999,3,1,1
449.9999,5.02,0.74726,3,1,1
459.9999,4.95333,0.72578,3,1,1
469.9999,4.90667,0.71304,3,1,1
479.9999,4.98,0.74642,3,1,1
489.9999,5.04667,0.77636,3,1,1
499.9999,5.04,0.73358,3,1,1
509.9999,4.94667,0.73174,3,1,1
519.9999,5.00667,0.7155100000000001,3,1,1
529.9999,5.08,0.76061,3,1,1
539.9999,5.09333,0.76648,3,1,1
549.9999,5.146669999999999,0.8032199999999999,3,1,1
559.9999,5.25333,0.8213299999999999,3,1,1
569.9999,5.146669999999999,0.79929,3,1,1
579.9999,5.03333,0.75268,3,1,1
589.9999,5.03333,0.7581600000000001,3,1,1
599.9999,5.146669999999999,0.79364,3,1,1
609.9999,5.106669999999999,0.80857,3,1,1
619.9999,5.12667,0.77218,3,1,1
629.9999,4.98,0.7237600000000001,3,1,1
639.9999,5.013330000000001,0.73306,3,1,1
649.9999,4.91333,0.71072,3,1,1
659.9999,4.88,0.6985899999999999,3,1,1
669.9999,4.92,0.73801,3,1,1
679.9999,5.0,0.75564,3,1,1
689.9999,4.8066699999999996,0.69067,3,1,1
699.9999,4.933330000000001,0.7166399999999999,3,1,1
709.9999,5.11333,0.78257,3,1,1
719.9999,5.08,0.79093,3,1,1
729.9999,5.013330000000001,0.7471300000000001,3,1,1
739.9999,5.08667,0.77908,3,1,1
749.9999,5.0,0.75156,3,1,1
759.9999,5.106669999999999,0.76993,3,1,1
769.9999,4.98,0.73732,3,1,1
779.9999,4.99333,0.74905,3,1,1
789.9999,5.00667,0.7426,3,1,1
799.9999,4.933330000000001,0.73187,3,1,1
809.9999,4.87333,0.68728,3,1,1
819.9999,4.96,0.70801,3,1,1
829.9999,5.04667,0.75355,3,1,1
839.9999,4.94,0.73263,3,1,1
849.9999,4.99333,0.74729,3,1,1
859.9999,4.853330000000001,0.71659,3,1,1
869.9999,4.8066699999999996,0.68484,3,1,1
879.9999,4.7733300000000005,0.67489,3,1,1
889.9999,4.86667,0.68705,3,1,1
899.9999,4.9,0.6934600000000001,3,1,1
909.9999,4.94667,0.7046,3,1,1
919.9999,4.986669999999999,0.73069,3,1,1
929.9999,4.92667,0.7401300000000001,3,1,1
939.9999,4.973330000000001,0.72502,3,1,1
949.9999,4.82,0.6791,3,1,1
959.9999,4.72,0.6524399999999999,3,1,1
969.9999,4.8,0.66095,3,1,1
979.9999,4.86,0.67775,3,1,1
989.9999,4.99333,0.7099300000000001,3,1,1
999.9999,4.96667,0.67589,3,1,1
