Time,C6_avg,psi6,V,S_cnn,S_param
0.0,4.94667,0.11904,3,1,1
9.9999,4.94667,0.15719,3,1,1
19.9999,4.82667,0.21331,3,1,1
29.9999,4.65333,0.15407,3,1,1
39.9999,4.70667,0.17413,3,1,1
49.9999,4.65333,0.19167,3,1,1
59.9999,4.66667,0.19351,3,1,1
69.9999,4.44667,0.13546,3,1,1
79.9999,4.50667,0.15334,3,1,1
89.9999,4.38,0.1833,3,1,1
99.9999,4.42667,0.23573000000000002,3,1,1
109.9999,4.45333,0.23854,3,1,1
119.9999,4.5,0.2097,3,1,1
129.9999,4.526669999999999,0.2793,3,1,1
139.9999,4.5,0.32961,3,1,1
149.9999,4.526669999999999,0.32299,3,1,1
159.9999,4.606669999999999,0.34410999999999997,3,1,1
169.9999,4.46,0.36553,3,1,1
179.9999,4.61333,0.36513,3,1,1
189.9999,4.53333,0.33096,3,1,1
199.9999,4.55333,0.3546,3,1,1
209.9999,4.67333,0.37026,3,1,1
219.9999,4.70667,0.41534,3,1,1
229.9999,4.8066699999999996,0.43726000000000004,3,1,1
239.9999,4.72,0.47708999999999996,3,1,1
249.9999,4.6,0.47691000000000006,3,1,1
259.9999,4.62,0.50338,3,1,1
269.9999,4.7333300000000005,0.54973,3,1,1
279.9999,4.68,0.48001000000000005,3,1,1
289.9999,4.59333,0.45458000000000004,3,1,1
299.9999,4.71333,0.51998,3,1,1
309.9999,4.57333,0.5069,3,1,1
319.9999,4.61333,0.51297,3,1,1
329.9999,4.7266699999999995,0.5405399999999999,3,1,1
339.9999,4.64,0.60846,3,1,1
349.9999,4.53333,0.56596,3,1,1
359.9999,4.7266699999999995,0.5927600000000001,3,1,1
369.9999,4.74,0.64094,3,1,1
379.9999,4.74667,0.6581199999999999,3,1,1
389.9999,4.79333,0.6342,3,1,1
399.9999,4.853330000000001,0.68642,3,1,1
409.9999,4.933330000000001,0.7313,3,1,1
419.9999,4.94,0.71618,3,1,1
429.9999,4.7,0.66222,3,1,1
439.9999,4.86,0.7308899999999999,3,1,1
449.9999,4.74667,0.68015,3,1,1
459.9999,4.82667,0.69292,3,1,1
469.9999,4.82667,0.67289,3,1,1
479.9999,4.82667,0.6934600000000001,3,1,1
489.9999,4.82,0.66285,3,1,1
499.9999,4.853330000000001,0.68613,3,1,1
509.9999,4.78,0.64558,3,1,1
519.9999,4.86667,0.65688,3,1,1
529.9999,4.90667,0.73244,3,1,1
539.9999,4.79333,0.66313,3,1,1
549.9999,4.74667,0.644,3,1,1
559.9999,4.84667,0.66151,3,1,1
569.9999,4.91333,0.64965,3,1,1
579.9999,4.86,0.6603,3,1,1
589.9999,4.90667,0.67002,3,1,1
599.9999,4.87333,0.71714,3,1,1
609.9999,4.90667,0.69495,3,1,1
619.9999,4.8133300000000006,0.6612100000000001,3,1,1
629.9999,4.853330000000001,0.7059,3,1,1
639.9999,4.88,0.70806,3,1,1
649.9999,4.96667,0.7295699999999999,3,1,1
659.9999,4.96,0.72849,3,1,1
669.9999,4.853330000000001,0.6998800000000001,3,1,1
679.9999,4.933330000000001,0.72255,3,1,1
689.9999,4.92667,0.7074,3,1,1
699.9999,5.04,0.75026,3,1,1
709.9999,4.92,0.75557,3,1,1
719.9999,4.99333,0.74315,3,1,1
729.9999,4.96667,0.7620100000000001,3,1,1
739.9999,4.98,0.7375,3,1,1
749.9999,5.13333,0.7708,3,1,1
759.9999,4.98,0.72713,3,1,1
769.9999,4.96,0.72569,3,1,1
779.9999,4.92,0.74797,3,1,1
789.9999,4.92667,0.732,3,1,1
799.9999,5.00667,0.73835,3,1,1
809.9999,4.96,0.74336,3,1,1
819.9999,4.74667,0.67856,3,1,1
829.9999,4.82,0.69608,3,1,1
839.9999,4.986669999999999,0.76476,3,1,1
849.9999,4.88667,0.72511,3,1,1
859.9999,4.91333,0.69506,3,1,1
869.9999,4.933330000000001,0.73893,3,1,1
879.9999,5.07333,0.80395,3,1,1
889.9999,4.90667,0.72843,3,1,1
899.9999,5.00667,0.73288,3,1,1
909.9999,4.96,0.7297,3,1,1
919.9999,4.96667,0.71423,3,1,1
929.9999,4.96667,0.7207100000000001,3,1,1
939.9999,4.92667,0.71234,3,1,1
949.9999,5.02,0.7780699999999999,3,1,1
959.9999,4.86,0.73261,3,1,1
969.9999,4.933330000000001,0.75022,3,1,1
979.9999,4.853330000000001,0.7129800000000001,3,1,1
989.9999,4.91333,0.7228399999999999,3,1,1
999.9999,4.90667,0.7289399999999999,3,1,1
