Time,C6_avg,psi6,V,S_cnn,S_param
0.0,1.52,0.0056,0,0,0
9.9999,1.62,0.05475,1,0,0
19.9999,1.58667,0.03136,1,0,0
29.9999,1.52667,0.06858,1,0,0
39.9999,1.44,0.056979999999999996,1,0,0
49.9999,1.4666700000000001,0.0422,1,0,0
59.9999,1.58,0.03628,1,0,0
69.9999,1.46,0.054310000000000004,1,0,0
79.9999,1.45333,0.07484,1,0,0
89.9999,1.52,0.06209,1,0,0
99.9999,1.46,0.0379,1,0,0
109.9999,1.4,0.018359999999999998,1,0,0
119.9999,1.52,0.06101,1,0,0
129.9999,1.56667,0.04935,1,0,0
139.9999,1.48,0.031580000000000004,1,0,0
149.9999,1.56,0.03304,1,0,0
159.9999,1.47333,0.06215,1,0,0
169.9999,1.4466700000000001,0.0463,1,0,0
179.9999,1.38667,0.03482,1,0,0
189.9999,1.4466700000000001,0.053320000000000006,1,0,0
199.9999,1.5133299999999998,0.04149,1,0,0
209.9999,1.42,0.02325,1,0,0
219.9999,1.44,0.09212000000000001,1,0,0
229.9999,1.4866700000000002,0.08209,1,0,0
239.9999,1.5133299999999998,0.03123,1,0,0
249.9999,1.48,0.0829,1,0,0
259.9999,1.44,0.06554,1,0,0
269.9999,1.54667,0.06329,1,0,0
279.9999,1.52,0.03125,1,0,0
289.9999,1.5133299999999998,0.0142,1,0,0
299.9999,1.42,0.04711,1,0,0
309.9999,1.2933299999999999,0.0698,1,0,0
319.9999,1.40667,0.028860000000000004,1,0,0
329.9999,1.57333,0.02333,1,0,0
339.9999,1.42,0.10248,1,0,0
349.9999,1.4466700000000001,0.06772,1,0,0
359.9999,1.4466700000000001,0.05093,1,0,0
369.9999,1.36,0.04307,1,0,0
379.9999,1.43333,0.057010000000000005,1,0,0
389.9999,1.5,0.10611,1,0,0
399.9999,1.47333,0.11337,1,0,0
409.9999,1.44,0.047689999999999996,1,0,0
419.9999,1.41333,0.05149,1,0,0
429.9999,1.4,0.00218,1,0,0
439.9999,1.56,0.03853,1,0,0
449.9999,1.45333,0.10092000000000001,1,0,0
459.9999,1.41333,0.03048,1,0,0
469.9999,1.47333,0.058379999999999994,1,0,0
479.9999,1.34,0.053110000000000004,1,0,0
489.9999,1.45333,0.020319999999999998,1,0,0
499.9999,1.42,0.007109999999999999,1,0,0
509.9999,1.52,0.12479000000000001,1,0,0
519.9999,1.43333,0.08819,1,0,0
529.9999,1.44,0.03997,1,0,0
539.9999,1.41333,0.04473,1,0,0
549.9999,1.5066700000000002,0.08209,1,0,0
559.9999,1.42,0.033030000000000004,1,0,0
569.9999,1.39333,0.0461,1,0,0
579.9999,1.56,0.04668,1,0,0
589.9999,1.5533299999999999,0.07147,1,0,0
599.9999,1.42667,0.03411,1,0,0
609.9999,1.46,0.032330000000000005,1,0,0
619.9999,1.5333299999999999,0.06551,1,0,0
629.9999,1.5133299999999998,0.03369,1,0,0
639.9999,1.4466700000000001,0.04129,1,0,0
649.9999,1.5066700000000002,0.04502,1,0,0
659.9999,1.5133299999999998,0.11414,1,0,0
669.9999,1.38,0.07754,1,0,0
679.9999,1.30667,0.10075,1,0,0
689.9999,1.4866700000000002,0.05351,1,0,0
699.9999,1.47333,0.048310000000000006,1,0,0
709.9999,1.5066700000000002,0.06019,1,0,0
719.9999,1.58667,0.04488,1,0,0
729.9999,1.41333,0.02835,1,0,0
739.9999,1.45333,0.0934,1,0,0
749.9999,1.43333,0.12322999999999999,1,0,0
759.9999,1.46,0.01826,1,0,0
769.9999,1.5066700000000002,0.03687,1,0,0
779.9999,1.47333,0.03229,1,0,0
789.9999,1.4933299999999998,0.03627,1,0,0
799.9999,1.5133299999999998,0.01217,1,0,0
809.9999,1.34667,0.049589999999999995,1,0,0
819.9999,1.30667,0.03096,1,0,0
829.9999,1.42667,0.02138,1,0,0
839.9999,1.42,0.1029,1,0,0
849.9999,1.46,0.032260000000000004,1,0,0
859.9999,1.4,0.025939999999999998,1,0,0
869.9999,1.34,0.048010000000000004,1,0,0
879.9999,1.54,0.10367,1,0,0
889.9999,1.47333,0.10830999999999999,1,0,0
899.9999,1.45333,0.031160000000000004,1,0,0
909.9999,1.42,0.1027,1,0,0
919.9999,1.40667,0.03789,1,0,0
929.9999,1.5133299999999998,0.05943,1,0,0
939.9999,1.54667,0.05615,1,0,0
949.9999,1.34667,0.10364000000000001,1,0,0
959.9999,1.46,0.0209,1,0,0
969.9999,1.44,0.057629999999999994,1,0,0
979.9999,1.39333,0.09014,1,0,0
989.9999,1.40667,0.07147,1,0,0
999.9999,1.32667,0.05529,1,0,0
