Time,C6_avg,psi6,V,S_cnn,S_param
0.0,4.94667,0.11904,4,1,1
9.9999,4.96667,0.13575,4,1,1
19.9999,4.95333,0.15892,4,1,1
29.9999,4.92,0.15637,4,1,1
39.9999,4.94667,0.13525,4,1,1
49.9999,4.94667,0.14954,4,1,1
59.9999,4.96667,0.15024,4,1,1
69.9999,4.96667,0.11673,4,1,1
79.9999,4.95333,0.13718,4,1,1
89.9999,4.94,0.14197,4,1,1
99.9999,4.973330000000001,0.13824,4,1,1
109.9999,4.933330000000001,0.15006,4,1,1
119.9999,4.973330000000001,0.1177,4,1,1
129.9999,4.96,0.14386,4,1,1
139.9999,4.94667,0.14459,4,1,1
149.9999,4.933330000000001,0.14872,4,1,1
159.9999,4.973330000000001,0.12562,4,1,1
169.9999,4.94,0.15482,4,1,1
179.9999,4.933330000000001,0.16479000000000002,4,1,1
189.9999,5.026669999999999,0.16954,4,1,1
199.9999,5.026669999999999,0.2056,4,1,1
209.9999,5.04,0.20814000000000002,4,1,1
219.9999,5.02,0.18977,4,1,1
229.9999,5.04,0.1535,4,1,1
239.9999,5.026669999999999,0.1526,4,1,1
249.9999,5.03333,0.17769000000000001,4,1,1
259.9999,5.026669999999999,0.16017,4,1,1
269.9999,4.99333,0.15864,4,1,1
279.9999,5.013330000000001,0.17708,4,1,1
289.9999,5.02,0.17328,4,1,1
299.9999,4.98,0.17227,4,1,1
309.9999,5.02,0.17549,4,1,1
319.9999,5.00667,0.18332,4,1,1
329.9999,4.96,0.17271,4,1,1
339.9999,4.95333,0.16224,4,1,1
349.9999,5.0,0.16768,4,1,1
359.9999,5.04,0.16751,4,1,1
369.9999,4.94,0.17115,4,1,1
379.9999,4.986669999999999,0.14307999999999998,4,1,1
389.9999,4.986669999999999,0.17102,4,1,1
399.9999,4.94667,0.17264000000000002,4,1,1
409.9999,4.986669999999999,0.14565999999999998,4,1,1
419.9999,4.96667,0.18014000000000002,4,1,1
429.9999,4.973330000000001,0.17962,4,1,1
439.9999,4.96,0.17482,4,1,1
449.9999,5.03333,0.16618,4,1,1
459.9999,5.02,0.17137,4,1,1
469.9999,5.0,0.16962,4,1,1
479.9999,4.99333,0.19195,4,1,1
489.9999,5.026669999999999,0.16412000000000002,4,1,1
499.9999,5.013330000000001,0.17384000000000002,4,1,1
509.9999,5.0,0.16577999999999998,4,1,1
519.9999,5.02,0.18273,4,1,1
529.9999,5.066669999999999,0.16555,4,1,1
539.9999,5.00667,0.15538,4,1,1
549.9999,5.013330000000001,0.15331,4,1,1
559.9999,5.00667,0.17153,4,1,1
569.9999,4.96667,0.15962,4,1,1
579.9999,4.986669999999999,0.16166,4,1,1
589.9999,5.026669999999999,0.16236,4,1,1
599.9999,4.973330000000001,0.17381,4,1,1
609.9999,5.00667,0.17102,4,1,1
619.9999,4.973330000000001,0.14586,4,1,1
629.9999,4.96667,0.15616,4,1,1
639.9999,5.026669999999999,0.18213,4,1,1
649.9999,4.99333,0.17687,4,1,1
659.9999,5.0,0.15467999999999998,4,1,1
669.9999,4.973330000000001,0.14394,4,1,1
679.9999,4.973330000000001,0.16141,4,1,1
689.9999,4.986669999999999,0.18908,4,1,1
699.9999,4.986669999999999,0.18842,4,1,1
709.9999,5.013330000000001,0.18941,4,1,1
719.9999,5.02,0.20464000000000002,4,1,1
729.9999,5.00667,0.18294000000000002,4,1,1
739.9999,5.04,0.19872,4,1,1
749.9999,5.02,0.1964,4,1,1
759.9999,5.04667,0.19919,4,1,1
769.9999,5.013330000000001,0.18392999999999998,4,1,1
779.9999,5.0,0.18411,4,1,1
789.9999,5.02,0.18864,4,1,1
799.9999,5.06,0.20342000000000002,4,1,1
809.9999,5.04667,0.21186,4,1,1
819.9999,5.013330000000001,0.21639,4,1,1
829.9999,5.03333,0.19607,4,1,1
839.9999,5.04667,0.20065,4,1,1
849.9999,5.04,0.18975,4,1,1
859.9999,5.013330000000001,0.18875,4,1,1
869.9999,5.04,0.19293,4,1,1
879.9999,5.026669999999999,0.16935999999999998,4,1,1
889.9999,5.03333,0.19818,4,1,1
899.9999,4.99333,0.16815,4,1,1
909.9999,4.98,0.14236,4,1,1
919.9999,5.013330000000001,0.1474,4,1,1
929.9999,4.99333,0.16935999999999998,4,1,1
939.9999,5.026669999999999,0.16895,4,1,1
949.9999,5.04,0.17995,4,1,1
959.9999,4.94,0.1906,4,1,1
969.9999,5.00667,0.20234000000000002,4,1,1
979.9999,5.00667,0.18664,4,1,1
989.9999,5.00667,0.18382,4,1,1
999.9999,5.026669999999999,0.16355,4,1,1
