Time,C6_avg,psi6,V,S_cnn,S_param
0.0,5.56,0.9942799999999999,3,2,2
9.9999,5.41333,0.9057,3,1,1
19.9999,5.3066699999999996,0.8463799999999999,3,1,1
29.9999,5.3066699999999996,0.85988,3,1,1
39.9999,5.16667,0.80807,3,1,1
49.9999,5.16667,0.79125,3,1,1
59.9999,4.98,0.74884,3,1,1
69.9999,5.026669999999999,0.76641,3,1,1
79.9999,4.98,0.7531399999999999,3,1,1
89.9999,5.05333,0.75517,3,1,1
99.9999,5.05333,0.75457,3,1,1
109.9999,5.02,0.74497,3,1,1
119.9999,5.05333,0.7677,3,1,1
129.9999,5.06,0.78149,3,1,1
139.9999,5.026669999999999,0.77727,3,1,1
149.9999,4.986669999999999,0.73728,3,1,1
159.9999,4.84667,0.7064199999999999,3,1,1
169.9999,5.04,0.7599100000000001,3,1,1
179.9999,4.973330000000001,0.73111,3,1,1
189.9999,4.87333,0.73226,3,1,1
199.9999,4.9,0.72507,3,1,1
209.9999,4.853330000000001,0.70997,3,1,1
219.9999,4.9,0.72055,3,1,1
229.9999,4.94667,0.76505,3,1,1
239.9999,5.013330000000001,0.79435,3,1,1
249.9999,4.95333,0.74952,3,1,1
259.9999,4.92,0.71112,3,1,1
269.9999,4.973330000000001,0.74655,3,1,1
279.9999,4.8,0.69421,3,1,1
289.9999,4.893330000000001,0.72536,3,1,1
299.9999,4.973330000000001,0.7336600000000001,3,1,1
309.9999,4.8133300000000006,0.69986,3,1,1
319.9999,4.91333,0.72741,3,1,1
329.9999,4.86667,0.70104,3,1,1
339.9999,4.853330000000001,0.7133,3,1,1
349.9999,4.92,0.70213,3,1,1
359.9999,5.013330000000001,0.73226,3,1,1
369.9999,5.026669999999999,0.78478,3,1,1
379.9999,4.84667,0.7264,3,1,1
389.9999,4.90667,0.74946,3,1,1
399.9999,4.82,0.66488,3,1,1
409.9999,4.82667,0.68043,3,1,1
419.9999,4.893330000000001,0.6934600000000001,3,1,1
429.9999,4.7733300000000005,0.6632899999999999,3,1,1
439.9999,4.82,0.69045,3,1,1
449.9999,4.83333,0.70699,3,1,1
459.9999,4.83333,0.67332,3,1,1
469.9999,4.8133300000000006,0.67587,3,1,1
479.9999,4.74667,0.64769,3,1,1
489.9999,4.853330000000001,0.68855,3,1,1
499.9999,4.7333300000000005,0.6503,3,1,1
509.9999,4.84,0.64382,3,1,1
519.9999,4.7,0.67079,3,1,1
529.9999,4.8066699999999996,0.69362,3,1,1
539.9999,4.933330000000001,0.72948,3,1,1
549.9999,4.96667,0.7214,3,1,1
559.9999,4.90667,0.70329,3,1,1
569.9999,4.76,0.6606,3,1,1
579.9999,4.7733300000000005,0.66385,3,1,1
589.9999,4.75333,0.67304,3,1,1
599.9999,4.82667,0.66797,3,1,1
609.9999,4.92,0.67403,3,1,1
619.9999,4.74,0.6921,3,1,1
629.9999,4.86,0.67606,3,1,1
639.9999,4.9,0.69042,3,1,1
649.9999,4.74667,0.69071,3,1,1
659.9999,4.8133300000000006,0.68219,3,1,1
669.9999,4.88,0.6996100000000001,3,1,1
679.9999,4.92667,0.7278399999999999,3,1,1
689.9999,5.08,0.76623,3,1,1
699.9999,5.00667,0.7301300000000001,3,1,1
709.9999,4.95333,0.74628,3,1,1
719.9999,4.86667,0.6983600000000001,3,1,1
729.9999,4.88667,0.7136899999999999,3,1,1
739.9999,4.83333,0.68798,3,1,1
749.9999,4.973330000000001,0.74849,3,1,1
759.9999,4.91333,0.69382,3,1,1
769.9999,5.02,0.72634,3,1,1
779.9999,4.94667,0.71306,3,1,1
789.9999,4.88667,0.71836,3,1,1
799.9999,4.99333,0.73137,3,1,1
809.9999,4.92667,0.68872,3,1,1
819.9999,4.91333,0.71549,3,1,1
829.9999,4.86,0.72924,3,1,1
839.9999,4.87333,0.7055,3,1,1
849.9999,4.84667,0.6776,3,1,1
859.9999,4.90667,0.70778,3,1,1
869.9999,4.99333,0.74569,3,1,1
879.9999,5.0,0.76925,3,1,1
889.9999,4.96,0.7467199999999999,3,1,1
899.9999,4.94667,0.7167399999999999,3,1,1
909.9999,4.9,0.6954600000000001,3,1,1
919.9999,4.90667,0.69515,3,1,1
929.9999,4.94667,0.70302,3,1,1
939.9999,5.04,0.74217,3,1,1
949.9999,5.08667,0.76075,3,1,1
959.9999,5.07333,0.77223,3,1,1
969.9999,5.03333,0.7513,3,1,1
979.9999,4.94,0.7185699999999999,3,1,1
989.9999,4.99333,0.7303,3,1,1
999.9999,5.08667,0.74468,3,1,1
