Time,C6_avg,psi6,V,S_cnn,S_param
0.0,1.40667,0.07147,0,0,0
9.9999,1.86,0.04467,3,0,0
19.9999,2.1266700000000003,0.044410000000000005,3,0,0
29.9999,2.28667,0.07372999999999999,3,0,0
39.9999,2.38667,0.0547,3,0,0
49.9999,2.6,0.046689999999999995,3,0,0
59.9999,2.82667,0.14185,3,0,0
69.9999,3.04667,0.11425999999999999,3,0,0
79.9999,3.07333,0.05945,3,0,0
89.9999,3.04,0.05491,3,0,0
99.9999,3.17333,0.13987,3,0,0
109.9999,3.34,0.16236,3,0,0
119.9999,3.72667,0.25714000000000004,3,0,0
129.9999,3.9066699999999996,0.26147,3,1,0
139.9999,3.70667,0.23671,3,0,0
149.9999,3.8666699999999996,0.28058,3,0,0
159.9999,3.9733300000000003,0.24379,3,0,0
169.9999,4.066669999999999,0.20035,3,1,1
179.9999,3.98,0.24863000000000002,3,0,0
189.9999,4.03333,0.23425,3,1,1
199.9999,3.96,0.20604,3,0,0
209.9999,4.08667,0.22033000000000003,3,1,1
219.9999,4.2333300000000005,0.19405999999999998,3,1,1
229.9999,4.2,0.25286,3,1,1
239.9999,4.026669999999999,0.21748,3,1,1
249.9999,4.13333,0.2965,3,1,1
259.9999,4.25333,0.26953,3,1,1
269.9999,4.2733300000000005,0.3002,3,1,1
279.9999,4.33333,0.30556,3,1,1
289.9999,4.2266699999999995,0.28197,3,1,1
299.9999,4.36,0.34178000000000003,3,1,1
309.9999,4.34667,0.33213000000000004,3,1,1
319.9999,4.29333,0.34033,3,1,1
329.9999,4.46667,0.28889000000000004,3,1,1
339.9999,4.38,0.28441,3,1,1
349.9999,4.40667,0.31494,3,1,1
359.9999,4.2666699999999995,0.30394,3,1,1
369.9999,4.29333,0.35055,3,1,1
379.9999,4.353330000000001,0.39934000000000003,3,1,1
389.9999,4.37333,0.37301999999999996,3,1,1
399.9999,4.22,0.36582,3,1,1
409.9999,4.353330000000001,0.39898,3,1,1
419.9999,4.36667,0.4198,3,1,1
429.9999,4.32,0.38939,3,1,1
439.9999,4.3,0.41423000000000004,3,1,1
449.9999,4.28,0.46737,3,1,1
459.9999,4.42,0.48258999999999996,3,1,1
469.9999,4.37333,0.43751,3,1,1
479.9999,4.48,0.45775,3,1,1
489.9999,4.44667,0.49417,3,1,1
499.9999,4.38,0.50049,3,1,1
509.9999,4.32667,0.47534,3,1,1
519.9999,4.54667,0.54338,3,1,1
529.9999,4.44,0.47691999999999996,3,1,1
539.9999,4.42,0.48315,3,1,1
549.9999,4.486669999999999,0.4777,3,1,1
559.9999,4.433330000000001,0.4876,3,1,1
569.9999,4.473330000000001,0.50275,3,1,1
579.9999,4.353330000000001,0.52698,3,1,1
589.9999,4.3066699999999996,0.55724,3,1,1
599.9999,4.486669999999999,0.48299,3,1,1
609.9999,4.66667,0.45102,3,1,1
619.9999,4.486669999999999,0.44728,3,1,1
629.9999,4.38667,0.53291,3,1,1
639.9999,4.7,0.54085,3,1,1
649.9999,4.72,0.5431199999999999,3,1,1
659.9999,4.63333,0.55523,3,1,1
669.9999,4.44667,0.5476,3,1,1
679.9999,4.55333,0.53256,3,1,1
689.9999,4.473330000000001,0.57568,3,1,1
699.9999,4.36667,0.57997,3,1,1
709.9999,4.44,0.55006,3,1,1
719.9999,4.53333,0.5624899999999999,3,1,1
729.9999,4.57333,0.6047399999999999,3,1,1
739.9999,4.57333,0.57285,3,1,1
749.9999,4.61333,0.6089100000000001,3,1,1
759.9999,4.64,0.61132,3,1,1
769.9999,4.52,0.56247,3,1,1
779.9999,4.58,0.62578,3,1,1
789.9999,4.67333,0.61949,3,1,1
799.9999,4.62,0.58865,3,1,1
809.9999,4.50667,0.5644399999999999,3,1,1
819.9999,4.49333,0.5414399999999999,3,1,1
829.9999,4.61333,0.57724,3,1,1
839.9999,4.66667,0.6233,3,1,1
849.9999,4.65333,0.6532100000000001,3,1,1
859.9999,4.6933300000000004,0.67815,3,1,1
869.9999,4.8133300000000006,0.73511,3,1,1
879.9999,4.64,0.67477,3,1,1
889.9999,4.8133300000000006,0.69524,3,1,1
899.9999,4.8066699999999996,0.70685,3,1,1
909.9999,4.86667,0.66932,3,1,1
919.9999,4.84,0.69234,3,1,1
929.9999,4.82,0.66488,3,1,1
939.9999,4.72,0.6015699999999999,3,1,1
949.9999,4.6933300000000004,0.64749,3,1,1
959.9999,4.66,0.60597,3,1,1
969.9999,4.79333,0.64845,3,1,1
979.9999,4.7666699999999995,0.6782100000000001,3,1,1
989.9999,4.75333,0.6954,3,1,1
999.9999,4.853330000000001,0.70767,3,1,1
