level_0,Time,C6_avg,psi6,V,S-1,S0
0,0.0,1.7466700000000002,0.02671,0.0,0.0,2.0
1,4.9999,3.61333,0.09891,4.0,0.0,2.0
2,9.9999,4.44667,0.13302,4.0,1.0,2.0
3,14.9999,4.65333,0.25503000000000003,4.0,1.0,2.0
4,19.9999,4.8533300000000015,0.35857,4.0,1.0,2.0
5,24.9999,4.88667,0.36453,4.0,1.0,2.0
6,29.9999,4.82667,0.39088,4.0,1.0,2.0
7,34.9999,4.88667,0.39982,4.0,1.0,2.0
8,39.9999,4.9,0.48078,4.0,1.0,2.0
9,44.9999,4.94,0.57918,4.0,1.0,2.0
10,49.9999,4.99333,0.59582,4.0,1.0,2.0
11,54.9999,5.12,0.64658,4.0,1.0,2.0
12,59.9999,5.17333,0.67965,4.0,1.0,2.0
13,64.9999,5.24667,0.74964,4.0,1.0,2.0
14,69.9999,5.44,0.8319,4.0,1.0,2.0
15,74.9999,5.34,0.85429,4.0,1.0,2.0
16,79.9999,5.42667,0.92582,4.0,1.0,2.0
17,84.9999,5.52,0.96462,4.0,1.0,2.0
18,89.9999,5.526669999999998,0.97535,4.0,1.0,1.0
19,94.9999,5.54667,0.99242,4.0,2.0,2.0
20,99.9999,5.54667,0.99502,4.0,2.0,2.0
21,104.9999,5.54667,0.99053,4.0,2.0,2.0
22,109.9999,5.54667,0.99352,4.0,2.0,2.0
23,114.9999,5.53333,0.98671,4.0,1.0,2.0
24,119.9999,5.54667,0.99232,4.0,2.0,2.0
25,124.9999,5.54667,0.99478,4.0,2.0,2.0
26,129.9999,5.54667,0.99378,4.0,2.0,2.0
27,134.9999,5.54667,0.99509,4.0,2.0,2.0
28,139.9999,5.54667,0.99361,4.0,2.0,2.0
29,144.9999,5.54667,0.99336,4.0,2.0,2.0
30,149.9999,5.54667,0.9953,4.0,2.0,2.0
32,159.9999,5.54667,0.99614,4.0,2.0,2.0
33,164.9999,5.54667,0.99195,4.0,2.0,2.0
34,169.9999,5.54667,0.99587,4.0,2.0,2.0
35,174.9999,5.54667,0.99553,4.0,2.0,2.0
36,179.9999,5.54667,0.9964,4.0,2.0,1.0
38,189.9999,5.54667,0.9944,4.0,2.0,1.0
39,194.9999,5.54667,0.99457,4.0,2.0,2.0
40,199.9999,5.54667,0.99476,4.0,2.0,2.0
41,204.9999,5.54667,0.99511,4.0,2.0,2.0
42,209.9999,5.54667,0.99475,4.0,2.0,2.0
43,214.9999,5.54667,0.99544,4.0,2.0,2.0
44,219.9999,5.54667,0.99494,4.0,2.0,2.0
45,224.9999,5.54667,0.99282,4.0,2.0,2.0
46,229.9999,5.54667,0.99263,4.0,2.0,2.0
47,234.9999,5.54667,0.99398,4.0,2.0,2.0
48,239.9999,5.54667,0.98965,4.0,1.0,2.0
49,244.9999,5.54667,0.9940000000000001,4.0,2.0,2.0
50,249.9999,5.54667,0.99273,4.0,2.0,2.0
51,254.9999,5.54667,0.99598,4.0,2.0,2.0
52,259.9999,5.54667,0.99407,4.0,2.0,2.0
53,264.9999,5.54667,0.99506,4.0,2.0,2.0
54,269.9999,5.54667,0.99228,4.0,2.0,2.0
55,274.9999,5.54667,0.99293,4.0,2.0,2.0
56,279.9999,5.54667,0.99615,4.0,2.0,2.0
57,284.9999,5.54667,0.99368,4.0,2.0,2.0
58,289.9999,5.54667,0.99514,4.0,2.0,2.0
59,294.9999,5.54667,0.99517,4.0,2.0,2.0
60,299.9999,5.54667,0.99115,4.0,2.0,2.0
61,304.9999,5.53333,0.9856,4.0,1.0,2.0
