Time,C6_avg,psi6,V,S_cnn,S_param
0.0,1.6866700000000001,0.05184,0,0,0
9.9999,4.65333,0.08395,0,1,1
19.9999,5.02,0.12211,4,1,1
29.9999,4.62667,0.12127,2,1,1
39.9999,4.96,0.13463,4,1,1
49.9999,4.90667,0.09179,2,1,1
59.9999,5.1,0.10013999999999999,4,1,1
69.9999,5.04667,0.09176000000000001,3,1,1
79.9999,4.62667,0.09013,2,1,1
89.9999,4.353330000000001,0.09908,1,1,1
99.9999,5.13333,0.15499000000000002,4,1,1
109.9999,4.96,0.18223,3,1,1
119.9999,4.67333,0.23611999999999997,1,1,1
129.9999,4.74,0.20969000000000002,3,1,1
139.9999,4.63333,0.24516999999999997,3,1,1
149.9999,4.44667,0.2205,2,1,1
159.9999,4.566669999999999,0.23195,3,1,1
169.9999,4.2666699999999995,0.21300999999999998,1,1,1
179.9999,3.72667,0.10684,1,1,0
189.9999,5.15333,0.2444,4,1,1
199.9999,4.99333,0.21716,2,1,1
209.9999,5.16667,0.24938000000000002,4,1,1
219.9999,5.066669999999999,0.23338000000000003,2,1,1
229.9999,4.67333,0.1536,1,1,1
239.9999,4.44,0.15149,2,1,1
249.9999,4.3066699999999996,0.13510999999999998,1,1,1
259.9999,4.28667,0.12629,3,1,1
269.9999,4.2266699999999995,0.11469000000000001,2,1,1
279.9999,5.2266699999999995,0.2323,4,1,1
289.9999,5.18,0.18419000000000002,4,1,1
299.9999,4.98,0.19463,1,1,1
309.9999,5.20667,0.16067,4,1,1
319.9999,5.08,0.13127,3,1,1
329.9999,5.03333,0.12195999999999999,3,1,1
339.9999,4.68,0.1058,1,1,1
349.9999,5.11333,0.10739000000000001,4,1,1
359.9999,5.1933300000000004,0.03925,4,1,1
369.9999,4.98,0.03192,1,1,1
379.9999,5.29333,0.05219,4,1,1
389.9999,5.2266699999999995,0.0631,4,1,1
399.9999,5.08667,0.02047,3,1,1
409.9999,5.26,0.07209,4,1,1
419.9999,5.00667,0.06242999999999999,1,1,1
429.9999,4.99333,0.07819,3,1,1
439.9999,4.82,0.07395,3,1,1
449.9999,4.7,0.05028,1,1,1
459.9999,4.38,0.09134,1,1,1
469.9999,4.26,0.11935,1,1,1
479.9999,5.25333,0.07067999999999999,4,1,1
489.9999,5.08,0.051410000000000004,1,1,1
499.9999,5.26,0.07846,4,1,1
509.9999,5.09333,0.04116,1,1,1
519.9999,4.74667,0.06368,2,1,1
529.9999,4.61333,0.04342,2,1,1
539.9999,4.353330000000001,0.06242,1,1,1
549.9999,4.4,0.028069999999999998,3,1,1
559.9999,4.52,0.08165,3,1,1
569.9999,5.28667,0.09554,4,1,1
579.9999,5.14,0.07818,2,1,1
589.9999,5.25333,0.08072,4,1,1
599.9999,5.1,0.054520000000000006,3,1,1
609.9999,4.72,0.07447000000000001,1,1,1
619.9999,5.26,0.06832,4,1,1
629.9999,5.15333,0.060629999999999996,2,1,1
639.9999,5.026669999999999,0.09431,3,1,1
649.9999,5.2333300000000005,0.03954,4,1,1
659.9999,5.09333,0.01592,2,1,1
669.9999,4.853330000000001,0.01744,1,1,1
679.9999,5.17333,0.04059,4,1,1
689.9999,5.08,0.06842000000000001,2,1,1
699.9999,4.88667,0.11117,2,1,1
709.9999,4.64,0.05255,2,1,1
719.9999,4.64,0.09467,3,1,1
729.9999,4.433330000000001,0.09606,2,1,1
739.9999,4.24667,0.076,1,1,1
749.9999,5.2266699999999995,0.06154,4,1,1
759.9999,4.94,0.036180000000000004,1,1,1
769.9999,4.78,0.04802,2,1,1
779.9999,4.45333,0.033089999999999994,1,1,1
789.9999,4.50667,0.01715,2,1,1
799.9999,4.2,0.05337000000000001,2,1,1
809.9999,4.04,0.03932,2,1,1
819.9999,3.96,0.06949,2,0,0
829.9999,5.26,0.03451,4,1,1
839.9999,5.2666699999999995,0.04696,4,1,1
849.9999,5.20667,0.05739,3,1,1
859.9999,5.2266699999999995,0.0534,4,1,1
869.9999,5.12667,0.009609999999999999,1,1,1
879.9999,4.79333,0.014119999999999999,2,1,1
889.9999,4.7266699999999995,0.05294,1,1,1
899.9999,4.28,0.06242999999999999,1,1,1
909.9999,5.24,0.023219999999999998,4,1,1
919.9999,5.2666699999999995,0.03318,4,1,1
929.9999,5.09333,0.04035,2,1,1
939.9999,4.8066699999999996,0.015030000000000002,2,1,1
949.9999,4.70667,0.06176,2,1,1
959.9999,5.26,0.01853,4,1,1
969.9999,5.25333,0.01403,4,1,1
979.9999,5.24667,0.032869999999999996,4,1,1
989.9999,5.15333,0.02478,3,1,1
999.9999,5.0,0.05062,2,1,1
